Nombre, m, d, rho, a, e, i, alb
Mercurio, 0.330e24, 4879, 5427, 0.387, 0.205, 7, 0.1
Venus, 4.86e24, 12104, 5243, 0.723, 0.007, 3.4, 0.65
Tierra, 5.97e24, 12756, 5514, 1, 0.017, 0, 0.39
Marte, 0.642e24, 6792, 3933, 1.52, 0.094, 1.9, 0.15
Jupiter, 1898e24, 142984, 1326, 5.2, 0.049, 1.3, 0.52
Saturno, 568e24, 120536, 687, 9.58, 0.057, 2.5, 0.76
Urano, 86.8e24, 51118, 1271, 19.20, 0.046, 0.8, 0.51
Neptuno, 102e24, 49528, 1638, 30.05, 0.011, 1.8, 0.35
Pluton, 0.0146e24, 2370, 2095, 39.48, 0.244, 17.2, 0.4
Eris, 1.66e22, 2326, 2520, 67.67, 0.44, 44.04, 0.96
Makemake, 4e21, 1420, 2000, 45.791, 0.159, 28.96, 0.81
