ID,ra,dec,votos
587724233176449214,14.5594583333,15.20025,27
588017991768277198,215.539,9.04555555556,25
588297863121207359,182.1685,46.4748055556,40
587731185652072643,325.864791667,-0.480194444444,27
587729386603282615,136.707833333,48.7724722222,43
587739302602211412,173.339083333,33.4334722222,41
587739811026829453,221.236166667,23.1491944444,29
587739459907223629,215.712875,29.8731944444,24
587742773477572691,162.517166667,15.4503333333,32
587739506078122130,178.483583333,32.6438888889,37
587739457222672644,214.62275,27.9595833333,27
587742610805555503,226.015916667,13.2207777778,32
587742567318683861,147.830541667,15.6873888889,32
587725039563440143,199.209083333,-3.06275,37
588017704555053252,212.599166667,11.8313333333,28
587732134840172638,152.614541667,47.2565833333,35
587728676858036373,187.935416667,63.7480833333,62
588023668100694162,190.5095,18.9877777778,28
587731873922416983,118.584958333,32.7746388889,31
587742189369491629,187.934458333,24.3136666667,31
587725576425832622,261.607666667,58.5888611111,19
587745540521787610,159.042166667,16.2143611111,29
587735343717745184,125.714791667,6.45480555556,27
588013382720160117,118.592583333,27.0088333333,36
587733603717742785,210.12825,56.8876111111,50
588007003657339121,246.631666667,44.1220833333,24
587729233056563659,256.618791667,38.3635,36
587738371668574791,118.481666667,18.0984166667,30
587725816964251809,242.2795,51.5968055556,36
587738196114538690,118.483375,52.0364444444,74
587724648718598351,176.4225,-2.95591666667,47
587731891114672302,178.454333333,57.6651111111,34
587736542016045176,210.129416667,8.64980555556,29
587735665321508891,251.235375,31.6274444444,50
587732582592938194,168.519625,59.1841111111,52
587732484895408243,178.451583333,51.0118333333,24
588017712051454199,217.99575,47.2307777778,27
587731886273724617,125.720166667,38.3883611111,31
587725818558349458,168.516541667,67.3695,27
588017978377175274,240.151958333,25.2745277778,33
587733604258218129,223.223958333,53.5746944444,60
588007005792436240,210.122333333,63.6450555556,32
587734622175690900,147.83,40.7012777778,28
587738411406852256,168.156291667,15.21725,65
588023669169455169,178.459666667,19.7504722222,29
587733431923245478,253.070083333,27.3657777778,33
587731501331578925,148.732958333,52.6889722222,29
587736542011326647,199.265708333,9.36563888889,29
587729158975127655,214.636916667,4.30788888889,16
587742572682215596,162.519125,18.5966388889,27
587737809568399601,118.485083333,47.7363055556,25
588017625609535573,157.392041667,40.7883333333,32
588010359606542608,142.129458333,3.98752777778,33
588017979424636984,169.198,39.4031944444,64
587728669877535004,118.608875,38.2830277778,34
587739406250475749,199.226583333,33.4171666667,27
587739507155337278,187.928125,33.5874166667,41
587742567319404827,149.566416667,15.9190277778,24
587732772121608304,164.779416667,10.0125,30
587735348561707173,153.387125,12.8784444444,40
587739099129315429,162.889791667,36.5153611111,33
587733410984165539,217.986541667,50.0998333333,27
587742549600698525,204.486666667,18.0480277778,26
587738573534920994,203.624666667,38.2941388889,35
587736919433871640,243.462625,26.8420833333,26
587739630096613532,226.919833333,24.9639444444,38
587736782001471798,251.267791667,24.8316944444,28
588009370152665150,176.784916667,61.0736388889,23
587739845380079813,209.692958333,23.3481944444,25
587722984440529128,216.834833333,1.02586111111,30
588007005234462842,123.686458333,46.4149722222,61
587739132426715320,233.865708333,27.1502777778,27
587726878342185492,325.666958333,-7.79383333333,21
587738196114538676,118.566,51.9948888889,30
587733081348309150,178.472708333,55.3573888889,59
587725550663237802,131.16725,53.9511388889,29
587741708339642558,159.034583333,24.4558888889,35
587739610249166941,214.625708333,29.8562777778,34
587742550679748826,217.166833333,17.02475,54
587738067267289243,118.552541667,52.4679444444,34
588017991769391270,217.983,8.63772222222,43
587731520661225592,118.543208333,28.6234722222,26
587742013272621156,157.372208333,19.6228055556,31
588010359616438384,164.7795,5.00625,25
588011122506989609,203.626625,60.2639722222,38
587731873388101920,123.681375,36.9767222222,49
587728307490062508,164.788125,1.38338888889,31
587742013832102177,212.596375,20.07925,27
587722982297305365,226.445291667,-0.714916666667,34
588017977807077510,150.663041667,33.9165277778,45
587742060010602612,212.594875,19.0864166667,60
587741829658837210,169.195375,24.4411944444,25
587735043070099845,118.600583333,21.3106666667,28
587732134306250905,162.511583333,49.2181111111,19
587739408380264596,151.015625,31.0430277778,34
587742013297983761,219.001166667,18.3416388889,66
587728670414536931,118.59875,38.6705555556,29
587729746840650027,236.461375,0.797611111111,69
588017606295879756,187.936875,46.1315833333,23
588016890638696597,155.934541667,37.6411388889,29
